Title,Rating,Address,Dealings,Service_1,Cost_1,Service_2,Cost_2,Service_3,Cost_3,Service_4,Cost_4,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Tito & Tuthill Ladies Salon,4.9,"The Springs Souk, Al Afnan Street, Dubai",Women only,Hair Wash with Quick dry,aed 63,Toner,aed 210,Fringe cut,aed 50,Brazilian Blowout,aed 350,9:00 am - 10:00 pm,9:00 am - 10:00 pm,9:00 am - 10:00 pm,9:00 am - 10:00 pm,9:00 am - 10:00 pm,9:00 am - 10:00 pm,9:00 am - 10:00 pm
Yasmin Beauty Lounge,4.8,"قرية جميرا الدائرية, Dubai Jumeirah Village",Women only,Simple Hairstyle,aed 250,Haircut Only,aed 280,Truss (Mask ),aed 100,Deposit ( Hair Extension),from aed 500,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm
Jalal Hafed Gents Salon,5.0,"Building 6, Al Raya Street, City Walk Dubai, Dubai",Men only,Hair wash,aed 75,Hair Colour,from aed 400,Hair Colour (Bright Colour / White / Silver),aed 850,Toner (Required for Bleach/White/Silver Tones),aed 200,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm
Amber Beauty Salon | Meydan,4.8,"Dar Mira Building, Dubai Nad Al Sheba, Nad Al Sheba 1",Women only,Loreal Treatment,aed 200,keratin treatment,"aed 1,000",low light,aed 350,BB CREME Hair Treatment,aed 450,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,Closed
Freya Beauty Salon JVC,4.9,"Park View Tower, Dubai Jumeirah village circle",Women only,Extra long hair,aed 250,Hair color/extensions consultation,free,Cut & Blowdry,aed 350,Beaded Weft Installation (2 rows),aed 350,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm
Victor Keyrouz X Amaraya,4.9,"1st Floor, Al Shafar Building 7, Al Wasl Road - Al Bada'a, 1st Floor, Dubai",Women only,Hair Treatment,aed 500,Styling-Daily (Blowdry),aed 220,Little Princess Haircut,aed 110,Roots Hair Color,aed 250,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm
Corail Beauty Salon,5.0,"Al Waleed Garden Building, Dubai Al Jaddaf",Women only,blow out face contour,aed 170,Hair wash,aed 60,Blond Absolu Kerastase,aed 250,Micro hair extension - 50 pcs,aed 750,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm
The Most Hair Design Ladies Salon,4.9,"Ground floor Building 6 - Dubai Design District - Dubai, Dubai Dubai Design District",Women only,Any Hair Color Services Please Call For Consultation First.,free,Karsell Collagen,from aed 367.50,Blow Dry,from aed 110.25,Brazilian Hair Treatment,from aed 262.50,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,Closed
The Nail Pavilion JLT,4.9,"Goldcrest Views 1, Dubai Jumeirah Lakes Towers",Women only,HSC,aed 71,K18 Hair Repair,aed 300,Fiber Clinix,aed 200,Schwarzkopf Treatment,aed 200,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm
Paulista Ladies Salon,4.9,"Al Habtoor Residence Tower, 4th Floor, Marina Walk, Dubai Dubai Marina",Women only,Comb-line hair extensions installation only,from aed 300,Hair Cut,from aed 80,Classic Tint,from aed 350,Blow Dry,aed 150,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm
